dispatch_id,picker_name,order_id,warehouse_zone,items_picked,picking_errors,loading_bay,dispatch_time_minutes,status,error_type,bay_cost_per_hour,route_id
DSP-2017,Ravi Shankar,ORD-10107,Z-G,17,0,Bay-5,45,Completed,,213.92,RT-03
DSP-2018,Anil Sharma,ORD-10140,Z-H,15,0,Bay-2,17,Pending,,203.77,RT-06
DSP-2019,Suresh Yadav,ORD-10473,Z-D,22,0,Bay-1,14,Completed,,303.48,RT-04
DSP-2020,Rahul Verma,ORD-10306,Z-A,29,1,Bay-2,8,Completed,Wrong Item Picked,247.82,RT-02
DSP-2021,Deepak Tiwari,ORD-10218,Z-H,17,0,Bay-4,17,Pending,,386.5,RT-04
DSP-2022,Saurabh Jain,ORD-10455,Z-G,16,0,Bay-2,16,In Progress,,146.59,RT-08
DSP-2023,Suresh Yadav,ORD-10381,Z-D,24,0,Bay-2,24,Completed,,281.39,RT-11
DSP-2024,Naveen Gupta,ORD-10344,Z-B,23,0,Bay-1,21,Completed,,382.04,RT-12
DSP-2025,Ramesh Patil,ORD-10097,Z-A,21,0,Bay-2,12,Completed,,448.85,RT-05
DSP-2026,Pradeep Singh,ORD-10100,Z-E,16,0,Bay-2,23,Completed,,179.43,RT-04
DSP-2027,Naveen Gupta,ORD-10438,Z-D,1,0,Bay-4,25,In Progress,,384.0,RT-04
DSP-2028,Kiran Desai,ORD-10352,Z-E,20,0,Bay-5,40,In Progress,,293.69,RT-09
DSP-2029,Manoj Kumar,ORD-10449,Z-E,27,0,Bay-3,56,Completed,,352.01,RT-03
DSP-2030,Ramesh Patil,ORD-10278,Z-H,10,0,Bay-1,17,Completed,,278.87,RT-01
DSP-2031,Pradeep Singh,ORD-10217,Z-B,6,0,Bay-3,32,Completed,,259.24,RT-01
DSP-2032,Saurabh Jain,ORD-10430,Z-H,20,0,Bay-2,8,Completed,,302.99,RT-05
DSP-2033,Rahul Verma,ORD-10287,Z-F,9,1,Bay-4,20,Pending,Mislabeled Package,259.47,RT-11
DSP-2034,Anil Sharma,ORD-10248,Z-D,11,0,Bay-1,17,Completed,,188.52,RT-12
DSP-2035,Naveen Gupta,ORD-10105,Z-B,20,0,Bay-2,27,Completed,,480.11,RT-12
DSP-2036,Kiran Desai,ORD-10046,Z-F,30,0,Bay-5,29,In Progress,,307.46,RT-04
DSP-2037,Naveen Gupta,ORD-10101,Z-C,27,0,Bay-6,15,Completed,,164.56,RT-05
DSP-2038,Ramesh Patil,ORD-10211,Z-D,18,0,Bay-1,9,Pending,,402.05,RT-08
DSP-2039,Suresh Yadav,ORD-10256,Z-G,26,0,Bay-2,17,Completed,,192.0,RT-03
DSP-2040,Vijay Prasad,ORD-10017,Z-E,24,0,Bay-4,28,Completed,,427.32,RT-01
DSP-2041,Suresh Yadav,ORD-10039,Z-B,17,0,Bay-6,21,Completed,,397.06,RT-08
DSP-2042,Deepak Tiwari,ORD-10470,Z-C,4,0,Bay-4,14,Pending,,443.72,RT-10
DSP-2043,Kiran Desai,ORD-10262,Z-A,10,0,Bay-2,11,Completed,,362.42,RT-07
DSP-2044,Kiran Desai,ORD-10149,Z-G,3,0,Bay-4,25,Completed,,213.77,RT-07
DSP-2045,Naveen Gupta,ORD-10259,Z-D,13,0,Bay-4,20,Pending,,405.08,RT-11
DSP-2046,Suresh Yadav,ORD-10231,Z-D,19,2,Bay-4,15,Completed,Mislabeled Package,325.26,RT-01
DSP-2047,Anil Sharma,ORD-10170,Z-C,26,0,Bay-1,11,Completed,,183.07,RT-11
DSP-2048,Deepak Tiwari,ORD-10127,Z-B,5,0,Bay-4,24,In Progress,,326.66,RT-05
DSP-2049,Rahul Verma,ORD-10392,Z-H,9,1,Bay-6,18,Pending,Wrong Item Picked,228.58,RT-03
DSP-2050,Deepak Tiwari,ORD-10208,Z-A,9,0,Bay-5,56,Completed,,225.21,RT-11
DSP-2051,Vijay Prasad,ORD-10164,Z-H,23,0,Bay-5,30,Pending,,270.28,RT-06
DSP-2052,Kiran Desai,ORD-10065,Z-A,6,0,Bay-1,13,Completed,,447.9,RT-05
DSP-2053,Rahul Verma,ORD-10453,Z-G,16,0,Bay-5,56,Completed,,449.69,RT-08
DSP-2054,Kiran Desai,ORD-10004,Z-E,4,0,Bay-3,42,Completed,,346.04,RT-03
DSP-2055,Deepak Tiwari,ORD-10332,Z-C,5,0,Bay-6,14,Pending,,480.8,RT-01
DSP-2056,Naveen Gupta,ORD-10309,Z-E,16,0,Bay-3,33,Completed,,386.03,RT-03
DSP-2057,Rahul Verma,ORD-10162,Z-G,6,0,Bay-1,8,Completed,,175.07,RT-10
DSP-2058,Suresh Yadav,ORD-10275,Z-H,11,0,Bay-5,54,Completed,,126.71,RT-10
DSP-2059,Naveen Gupta,ORD-10452,Z-D,12,0,Bay-2,16,Completed,,464.6,RT-02
DSP-2060,Deepak Tiwari,ORD-10373,Z-E,12,0,Bay-4,16,Completed,,356.64,RT-07
DSP-2061,Suresh Yadav,ORD-10303,Z-C,4,0,Bay-3,36,Completed,,140.93,RT-05
DSP-2062,Deepak Tiwari,ORD-10330,Z-G,11,0,Bay-5,42,Pending,,394.91,RT-05
DSP-2063,Pradeep Singh,ORD-10465,Z-H,7,0,Bay-2,14,Completed,,421.34,RT-11
DSP-2064,Manoj Kumar,ORD-10084,Z-H,28,0,Bay-1,9,Completed,,422.89,RT-02
DSP-2065,Pradeep Singh,ORD-10241,Z-F,10,0,Bay-1,15,Completed,,250.92,RT-12
DSP-2066,Ravi Shankar,ORD-10242,Z-F,10,1,Bay-3,58,Completed,Incorrect Barcode Scan,436.88,RT-10
DSP-2067,Pradeep Singh,ORD-10426,Z-E,23,0,Bay-4,25,Completed,,378.04,RT-01
DSP-2068,Pradeep Singh,ORD-10061,Z-G,21,0,Bay-1,19,Pending,,408.3,RT-07
DSP-2069,Ravi Shankar,ORD-10217,Z-D,20,0,Bay-2,20,Completed,,473.28,RT-01
DSP-2070,Vijay Prasad,ORD-10226,Z-F,17,0,Bay-5,44,Completed,,464.42,RT-09
DSP-2071,Naveen Gupta,ORD-10471,Z-A,20,0,Bay-6,16,In Progress,,259.32,RT-09
DSP-2072,Ravi Shankar,ORD-10129,Z-E,21,0,Bay-5,26,Pending,,471.03,RT-05
DSP-2073,Pradeep Singh,ORD-10232,Z-H,6,0,Bay-6,25,Pending,,115.28,RT-03
DSP-2074,Deepak Tiwari,ORD-10457,Z-C,23,0,Bay-2,10,Completed,,438.32,RT-12
DSP-2075,Saurabh Jain,ORD-10326,Z-A,11,0,Bay-5,42,Pending,,177.67,RT-11
DSP-2076,Ravi Shankar,ORD-10008,Z-F,27,0,Bay-3,35,Pending,,334.74,RT-11
DSP-2077,Naveen Gupta,ORD-10007,Z-G,14,1,Bay-6,9,Completed,Incorrect Barcode Scan,159.01,RT-05
DSP-2078,Suresh Yadav,ORD-10088,Z-H,2,0,Bay-2,30,Completed,,169.19,RT-11
DSP-2079,Rahul Verma,ORD-10159,Z-E,18,0,Bay-3,54,Completed,,378.52,RT-03
DSP-2080,Saurabh Jain,ORD-10045,Z-B,30,0,Bay-6,10,Completed,,336.46,RT-11
DSP-2081,Manoj Kumar,ORD-10403,Z-A,7,1,Bay-4,10,Pending,Wrong Quantity,223.11,RT-08
DSP-2082,Pradeep Singh,ORD-10482,Z-D,24,0,Bay-2,17,Completed,,382.37,RT-03
DSP-2083,Anil Sharma,ORD-10071,Z-F,14,0,Bay-2,16,Pending,,170.84,RT-05
DSP-2084,Anil Sharma,ORD-10357,Z-H,9,0,Bay-3,48,Completed,,356.73,RT-11
DSP-2085,Pradeep Singh,ORD-10351,Z-C,2,1,Bay-5,49,Completed,Incorrect Barcode Scan,184.27,RT-10
DSP-2086,Kiran Desai,ORD-10177,Z-E,7,0,Bay-5,60,Pending,,417.72,RT-03
DSP-2087,Naveen Gupta,ORD-10395,Z-D,9,0,Bay-3,27,Pending,,306.81,RT-02
DSP-2088,Manoj Kumar,ORD-10243,Z-C,15,1,Bay-3,49,In Progress,Wrong Item Picked,228.95,RT-08
DSP-2089,Pradeep Singh,ORD-10183,Z-A,6,0,Bay-3,46,In Progress,,140.08,RT-05
DSP-2090,Anil Sharma,ORD-10083,Z-H,18,0,Bay-1,22,Pending,,282.58,RT-08
DSP-2091,Ravi Shankar,ORD-10222,Z-G,16,1,Bay-3,48,In Progress,Mislabeled Package,371.42,RT-11
DSP-2092,Rahul Verma,ORD-10497,Z-D,25,3,Bay-5,31,Completed,Damaged During Pick,481.59,RT-02
DSP-2093,Deepak Tiwari,ORD-10014,Z-C,17,0,Bay-3,58,Completed,,488.97,RT-03
DSP-2094,Manoj Kumar,ORD-10339,Z-F,26,3,Bay-1,17,In Progress,Wrong Quantity,420.6,RT-10
DSP-2095,Kiran Desai,ORD-10084,Z-H,1,0,Bay-2,13,Completed,,132.15,RT-02
DSP-2096,Vijay Prasad,ORD-10223,Z-B,24,0,Bay-6,25,Pending,,249.7,RT-03
DSP-2097,Manoj Kumar,ORD-10176,Z-B,16,1,Bay-4,30,Completed,Mislabeled Package,367.37,RT-02
DSP-2098,Ravi Shankar,ORD-10124,Z-B,13,0,Bay-2,20,In Progress,,459.21,RT-06
DSP-2099,Ravi Shankar,ORD-10446,Z-G,20,0,Bay-1,19,Completed,,396.17,RT-05
DSP-2100,Rahul Verma,ORD-10113,Z-C,25,0,Bay-3,46,Completed,,100.64,RT-09
DSP-2101,Kiran Desai,ORD-10468,Z-B,21,0,Bay-4,14,Completed,,220.78,RT-08
DSP-2102,Ramesh Patil,ORD-10196,Z-C,14,0,Bay-3,49,In Progress,,292.26,RT-10
DSP-2103,Kiran Desai,ORD-10091,Z-C,13,0,Bay-1,22,Pending,,238.51,RT-04
DSP-2104,Suresh Yadav,ORD-10335,Z-G,26,1,Bay-2,18,Completed,Incorrect Barcode Scan,253.6,RT-08
DSP-2105,Rahul Verma,ORD-10248,Z-G,14,2,Bay-3,52,Completed,Wrong Zone Pick,146.38,RT-12
DSP-2106,Naveen Gupta,ORD-10190,Z-H,23,0,Bay-5,48,Completed,,171.54,RT-03
DSP-2107,Naveen Gupta,ORD-10388,Z-G,28,0,Bay-2,8,Completed,,473.67,RT-07
DSP-2108,Anil Sharma,ORD-10101,Z-H,14,0,Bay-3,27,Completed,,295.85,RT-05
DSP-2109,Rahul Verma,ORD-10455,Z-F,9,1,Bay-6,17,In Progress,Wrong Item Picked,317.1,RT-08
DSP-2110,Anil Sharma,ORD-10182,Z-G,1,0,Bay-3,27,Completed,,242.9,RT-12
DSP-2111,Naveen Gupta,ORD-10378,Z-G,8,0,Bay-5,31,Completed,,157.86,RT-06
DSP-2112,Kiran Desai,ORD-10457,Z-E,12,2,Bay-6,27,Completed,Wrong Zone Pick,428.19,RT-12
DSP-2113,Saurabh Jain,ORD-10020,Z-B,11,0,Bay-2,27,Pending,,355.13,RT-04
DSP-2114,Kiran Desai,ORD-10262,Z-B,11,1,Bay-6,17,Completed,Wrong Item Picked,173.57,RT-07
DSP-2115,Anil Sharma,ORD-10369,Z-B,27,1,Bay-1,14,Completed,Damaged During Pick,346.23,RT-01
DSP-2116,Vijay Prasad,ORD-10355,Z-A,12,0,Bay-2,21,Completed,,375.55,RT-05
DSP-2117,Anil Sharma,ORD-10256,Z-A,20,0,Bay-2,29,Completed,,102.02,RT-03
DSP-2118,Rahul Verma,ORD-10400,Z-G,22,0,Bay-3,54,Completed,,490.36,RT-12
DSP-2119,Suresh Yadav,ORD-10113,Z-D,1,0,Bay-2,10,In Progress,,391.27,RT-09
DSP-2120,Saurabh Jain,ORD-10301,Z-G,21,0,Bay-5,49,Completed,,323.06,RT-03
DSP-2121,Ramesh Patil,ORD-10163,Z-F,27,0,Bay-4,23,Completed,,379.09,RT-04
DSP-2122,Kiran Desai,ORD-10130,Z-G,2,0,Bay-5,30,In Progress,,324.53,RT-01
DSP-2123,Suresh Yadav,ORD-10106,Z-F,10,0,Bay-3,53,In Progress,,111.83,RT-08
DSP-2124,Deepak Tiwari,ORD-10085,Z-F,19,0,Bay-1,17,Completed,,296.3,RT-01
DSP-2125,Kiran Desai,ORD-10471,Z-C,13,0,Bay-1,11,Completed,,184.52,RT-09
DSP-2126,Deepak Tiwari,ORD-10148,Z-C,28,0,Bay-6,20,Completed,,240.81,RT-02
DSP-2127,Kiran Desai,ORD-10461,Z-E,11,0,Bay-6,11,In Progress,,374.74,RT-12
DSP-2128,Pradeep Singh,ORD-10162,Z-G,8,1,Bay-4,22,Completed,Mislabeled Package,162.79,RT-10
DSP-2129,Kiran Desai,ORD-10147,Z-A,18,1,Bay-4,28,Completed,Wrong Item Picked,253.34,RT-10
DSP-2130,Kiran Desai,ORD-10498,Z-G,14,0,Bay-1,27,Completed,,343.88,RT-01
DSP-2131,Suresh Yadav,ORD-10306,Z-G,1,0,Bay-2,13,Completed,,288.77,RT-02
DSP-2132,Ramesh Patil,ORD-10011,Z-G,18,0,Bay-2,13,Completed,,389.22,RT-07
DSP-2133,Manoj Kumar,ORD-10241,Z-D,11,0,Bay-1,8,Completed,,284.47,RT-12
DSP-2134,Pradeep Singh,ORD-10308,Z-H,8,0,Bay-4,24,In Progress,,421.47,RT-01
DSP-2135,Manoj Kumar,ORD-10125,Z-H,24,3,Bay-1,9,In Progress,Mislabeled Package,446.83,RT-03
DSP-2136,Kiran Desai,ORD-10036,Z-G,9,1,Bay-5,32,In Progress,Incorrect Barcode Scan,358.84,RT-11
DSP-2137,Ravi Shankar,ORD-10012,Z-H,16,1,Bay-1,17,Pending,Wrong Zone Pick,407.5,RT-11
DSP-2138,Kiran Desai,ORD-10366,Z-H,14,0,Bay-1,12,Pending,,403.18,RT-06
DSP-2139,Suresh Yadav,ORD-10369,Z-C,12,0,Bay-3,34,Pending,,418.22,RT-01
DSP-2140,Anil Sharma,ORD-10049,Z-F,21,0,Bay-4,30,Completed,,197.89,RT-11
DSP-2141,Ramesh Patil,ORD-10151,Z-H,11,0,Bay-6,16,Completed,,337.77,RT-12
DSP-2142,Manoj Kumar,ORD-10267,Z-E,1,0,Bay-3,48,In Progress,,222.67,RT-12
DSP-2143,Manoj Kumar,ORD-10290,Z-E,16,2,Bay-6,17,Completed,Wrong Zone Pick,151.42,RT-02
DSP-2144,Anil Sharma,ORD-10439,Z-G,9,0,Bay-1,14,Completed,,159.35,RT-12
DSP-2145,Anil Sharma,ORD-10186,Z-G,16,0,Bay-2,19,In Progress,,334.85,RT-01
DSP-2146,Ramesh Patil,ORD-10267,Z-F,13,1,Bay-4,28,Completed,Incorrect Barcode Scan,292.82,RT-12
DSP-2147,Kiran Desai,ORD-10007,Z-B,11,0,Bay-2,15,Completed,,343.46,RT-05
DSP-2148,Suresh Yadav,ORD-10332,Z-D,12,0,Bay-5,25,Pending,,438.3,RT-01
DSP-2149,Vijay Prasad,ORD-10379,Z-D,12,0,Bay-4,28,Completed,,231.81,RT-04
DSP-2150,Anil Sharma,ORD-10283,Z-B,26,0,Bay-5,58,Completed,,202.43,RT-09
DSP-2151,Manoj Kumar,ORD-10353,Z-D,8,1,Bay-4,13,Completed,Incorrect Barcode Scan,206.31,RT-06
DSP-2152,Suresh Yadav,ORD-10380,Z-D,24,1,Bay-1,12,Completed,Wrong Item Picked,183.09,RT-07
DSP-2153,Deepak Tiwari,ORD-10389,Z-H,15,0,Bay-1,18,In Progress,,129.22,RT-02
DSP-2154,Suresh Yadav,ORD-10226,Z-B,16,0,Bay-5,38,Completed,,219.98,RT-09
DSP-2155,Deepak Tiwari,ORD-10220,Z-B,24,1,Bay-6,14,Completed,Wrong Zone Pick,345.77,RT-02
DSP-2156,Rahul Verma,ORD-10128,Z-G,20,0,Bay-6,13,Completed,,293.31,RT-10
DSP-2157,Pradeep Singh,ORD-10153,Z-E,28,0,Bay-3,42,In Progress,,301.22,RT-07
DSP-2158,Saurabh Jain,ORD-10057,Z-C,16,0,Bay-5,55,Completed,,171.52,RT-02
DSP-2159,Pradeep Singh,ORD-10155,Z-B,30,1,Bay-3,59,Pending,Wrong Quantity,411.52,RT-08
DSP-2160,Vijay Prasad,ORD-10157,Z-E,11,0,Bay-4,11,In Progress,,471.02,RT-09
DSP-2161,Deepak Tiwari,ORD-10344,Z-C,11,0,Bay-4,13,Pending,,344.05,RT-12
DSP-2162,Ramesh Patil,ORD-10489,Z-H,21,0,Bay-4,16,Completed,,205.14,RT-09
DSP-2163,Ramesh Patil,ORD-10074,Z-E,11,0,Bay-6,18,Completed,,270.12,RT-08
DSP-2164,Kiran Desai,ORD-10002,Z-G,2,2,Bay-3,33,Pending,Damaged During Pick,107.79,RT-10
DSP-2165,Vijay Prasad,ORD-10106,Z-E,10,1,Bay-1,18,Completed,Mislabeled Package,230.27,RT-08
DSP-2166,Ravi Shankar,ORD-10102,Z-D,20,0,Bay-3,31,Completed,,164.17,RT-09
DSP-2167,Saurabh Jain,ORD-10482,Z-H,2,0,Bay-4,30,Pending,,382.6,RT-03
DSP-2168,Anil Sharma,ORD-10310,Z-G,2,0,Bay-6,18,Completed,,247.78,RT-08
DSP-2169,Suresh Yadav,ORD-10241,Z-C,29,0,Bay-3,51,Pending,,449.58,RT-12
DSP-2170,Anil Sharma,ORD-10293,Z-D,18,0,Bay-2,18,Completed,,405.11,RT-09
DSP-2171,Naveen Gupta,ORD-10271,Z-E,23,0,Bay-1,30,In Progress,,225.58,RT-12
DSP-2172,Saurabh Jain,ORD-10382,Z-D,6,0,Bay-2,22,Completed,,179.59,RT-01
DSP-2173,Anil Sharma,ORD-10130,Z-A,5,0,Bay-4,21,Completed,,294.54,RT-01
DSP-2174,Naveen Gupta,ORD-10030,Z-F,1,0,Bay-1,24,Pending,,230.83,RT-04
DSP-2175,Saurabh Jain,ORD-10144,Z-F,21,0,Bay-1,26,Completed,,323.32,RT-02
DSP-2176,Naveen Gupta,ORD-10081,Z-B,19,1,Bay-5,37,In Progress,Wrong Zone Pick,272.38,RT-05
DSP-2177,Saurabh Jain,ORD-10231,Z-C,21,0,Bay-2,28,Completed,,281.62,RT-01
DSP-2178,Ravi Shankar,ORD-10419,Z-G,29,0,Bay-5,43,Completed,,431.29,RT-04
DSP-2179,Rahul Verma,ORD-10115,Z-F,14,0,Bay-2,26,In Progress,,230.65,RT-12
DSP-2180,Pradeep Singh,ORD-10340,Z-D,25,1,Bay-3,34,Completed,Wrong Quantity,182.46,RT-05
DSP-2181,Suresh Yadav,ORD-10013,Z-A,25,0,Bay-3,29,Completed,,226.13,RT-11
DSP-2182,Pradeep Singh,ORD-10106,Z-D,10,0,Bay-3,39,Pending,,186.89,RT-08
DSP-2183,Rahul Verma,ORD-10070,Z-H,4,2,Bay-4,8,Completed,Wrong Zone Pick,441.68,RT-01
DSP-2184,Kiran Desai,ORD-10025,Z-H,15,0,Bay-2,20,Completed,,149.86,RT-12
DSP-2185,Naveen Gupta,ORD-10467,Z-B,6,0,Bay-1,23,In Progress,,243.36,RT-04
DSP-2186,Kiran Desai,ORD-10097,Z-D,3,0,Bay-3,55,Completed,,144.8,RT-05
DSP-2187,Rahul Verma,ORD-10003,Z-G,26,1,Bay-1,19,Completed,Damaged During Pick,434.61,RT-05
DSP-2188,Pradeep Singh,ORD-10153,Z-D,23,0,Bay-6,20,Pending,,106.34,RT-07
DSP-2189,Ravi Shankar,ORD-10331,Z-F,2,0,Bay-2,13,Completed,,151.18,RT-06
DSP-2190,Manoj Kumar,ORD-10355,Z-H,25,0,Bay-5,38,Pending,,364.38,RT-05
DSP-2191,Deepak Tiwari,ORD-10212,Z-C,14,0,Bay-5,34,In Progress,,424.13,RT-10
DSP-2192,Ramesh Patil,ORD-10450,Z-B,26,0,Bay-4,14,Completed,,350.12,RT-05
DSP-2193,Deepak Tiwari,ORD-10164,Z-A,26,0,Bay-1,23,Completed,,448.81,RT-06
DSP-2194,Rahul Verma,ORD-10276,Z-G,25,1,Bay-5,35,Completed,Wrong Item Picked,239.47,RT-02
DSP-2195,Suresh Yadav,ORD-10214,Z-B,4,2,Bay-4,21,Pending,Incorrect Barcode Scan,276.17,RT-02
DSP-2196,Pradeep Singh,ORD-10000,Z-E,16,0,Bay-3,33,Completed,,315.99,RT-10
DSP-2197,Pradeep Singh,ORD-10366,Z-B,16,0,Bay-5,37,Completed,,305.89,RT-06
DSP-2198,Vijay Prasad,ORD-10337,Z-B,24,0,Bay-4,17,Pending,,142.09,RT-10
DSP-2199,Anil Sharma,ORD-10094,Z-E,11,0,Bay-4,29,Completed,,306.76,RT-12
DSP-2200,Manoj Kumar,ORD-10167,Z-G,12,1,Bay-5,27,In Progress,Mislabeled Package,352.75,RT-02
DSP-2201,Manoj Kumar,ORD-10007,Z-C,21,0,Bay-2,13,Completed,,104.69,RT-05
DSP-2202,Saurabh Jain,ORD-10439,Z-F,7,0,Bay-5,50,Completed,,185.93,RT-12
DSP-2203,Anil Sharma,ORD-10279,Z-H,4,0,Bay-6,24,Pending,,234.9,RT-10
DSP-2204,Anil Sharma,ORD-10174,Z-H,25,0,Bay-6,11,In Progress,,236.95,RT-05
DSP-2205,Anil Sharma,ORD-10032,Z-F,14,0,Bay-5,33,Completed,,490.04,RT-05
DSP-2206,Suresh Yadav,ORD-10281,Z-E,5,1,Bay-3,53,Completed,Wrong Item Picked,486.52,RT-04
DSP-2207,Manoj Kumar,ORD-10203,Z-D,5,2,Bay-2,8,Completed,Wrong Zone Pick,241.57,RT-04
DSP-2208,Manoj Kumar,ORD-10288,Z-A,26,1,Bay-5,39,In Progress,Incorrect Barcode Scan,166.7,RT-09
DSP-2209,Suresh Yadav,ORD-10348,Z-C,21,0,Bay-5,39,Pending,,400.44,RT-05
DSP-2210,Naveen Gupta,ORD-10482,Z-G,28,0,Bay-1,20,Completed,,460.38,RT-03
DSP-2211,Saurabh Jain,ORD-10239,Z-F,5,0,Bay-3,25,Completed,,383.34,RT-10
DSP-2212,Anil Sharma,ORD-10106,Z-B,2,0,Bay-2,12,Completed,,164.1,RT-08
DSP-2213,Kiran Desai,ORD-10402,Z-C,21,0,Bay-5,37,Completed,,240.16,RT-09
DSP-2214,Anil Sharma,ORD-10071,Z-G,4,0,Bay-5,34,Completed,,156.96,RT-05
DSP-2215,Ramesh Patil,ORD-10005,Z-B,17,0,Bay-1,28,Completed,,192.87,RT-02
DSP-2216,Anil Sharma,ORD-10420,Z-B,18,0,Bay-4,12,Completed,,491.6,RT-07
DSP-2217,Ramesh Patil,ORD-10448,Z-E,2,0,Bay-3,32,In Progress,,270.36,RT-01
DSP-2218,Ravi Shankar,ORD-10354,Z-H,25,0,Bay-5,31,Completed,,392.7,RT-08
DSP-2219,Ramesh Patil,ORD-10123,Z-H,27,0,Bay-4,21,Completed,,142.08,RT-03
DSP-2220,Ravi Shankar,ORD-10375,Z-E,29,0,Bay-5,46,Completed,,434.52,RT-12
DSP-2221,Suresh Yadav,ORD-10006,Z-B,23,1,Bay-2,26,Completed,Incorrect Barcode Scan,273.51,RT-05
DSP-2222,Suresh Yadav,ORD-10399,Z-H,18,0,Bay-5,49,In Progress,,448.16,RT-08
DSP-2223,Kiran Desai,ORD-10021,Z-B,19,1,Bay-6,11,Completed,Wrong Item Picked,486.69,RT-01
DSP-2224,Ramesh Patil,ORD-10297,Z-G,27,0,Bay-6,9,Completed,,415.25,RT-07
DSP-2225,Deepak Tiwari,ORD-10442,Z-A,13,1,Bay-6,21,In Progress,Wrong Item Picked,186.42,RT-03
DSP-2226,Rahul Verma,ORD-10322,Z-F,4,0,Bay-4,8,In Progress,,439.77,RT-11
DSP-2227,Ramesh Patil,ORD-10419,Z-F,12,2,Bay-2,16,Completed,Wrong Item Picked,229.8,RT-04
DSP-2228,Pradeep Singh,ORD-10134,Z-C,7,0,Bay-5,45,In Progress,,401.33,RT-05
DSP-2229,Saurabh Jain,ORD-10438,Z-B,11,0,Bay-5,39,Completed,,222.33,RT-04
DSP-2230,Suresh Yadav,ORD-10327,Z-G,11,0,Bay-6,13,In Progress,,180.86,RT-10
DSP-2231,Saurabh Jain,ORD-10179,Z-F,26,0,Bay-3,35,Pending,,229.1,RT-05
DSP-2232,Vijay Prasad,ORD-10297,Z-E,30,0,Bay-6,25,Completed,,323.97,RT-07
DSP-2233,Kiran Desai,ORD-10316,Z-B,7,0,Bay-6,27,Pending,,365.28,RT-11
DSP-2234,Manoj Kumar,ORD-10366,Z-F,18,0,Bay-2,20,Completed,,482.43,RT-06
DSP-2235,Deepak Tiwari,ORD-10291,Z-B,11,2,Bay-4,9,Completed,Wrong Quantity,367.01,RT-04
DSP-2236,Rahul Verma,ORD-10253,Z-D,27,1,Bay-2,15,Pending,Mislabeled Package,359.16,RT-02
DSP-2237,Manoj Kumar,ORD-10006,Z-E,8,3,Bay-5,55,Pending,Mislabeled Package,322.53,RT-05
DSP-2238,Vijay Prasad,ORD-10211,Z-C,28,0,Bay-4,28,Completed,,460.94,RT-08
DSP-2239,Ravi Shankar,ORD-10133,Z-F,26,1,Bay-4,19,Completed,Wrong Quantity,228.06,RT-11
DSP-2240,Suresh Yadav,ORD-10490,Z-C,11,1,Bay-6,15,In Progress,Incorrect Barcode Scan,151.51,RT-06
DSP-2241,Ravi Shankar,ORD-10243,Z-F,4,1,Bay-5,39,In Progress,Wrong Zone Pick,380.86,RT-08
DSP-2242,Vijay Prasad,ORD-10238,Z-E,19,1,Bay-4,27,Completed,Incorrect Barcode Scan,274.47,RT-05
DSP-2243,Rahul Verma,ORD-10286,Z-H,18,1,Bay-3,55,Pending,Wrong Quantity,125.51,RT-04
DSP-2244,Suresh Yadav,ORD-10488,Z-E,19,0,Bay-6,8,In Progress,,296.32,RT-02
DSP-2245,Manoj Kumar,ORD-10202,Z-D,22,1,Bay-5,44,Completed,Incorrect Barcode Scan,419.37,RT-12
